skills,experience,cgpa,projects,score
"embedded systems, python, machine learning, c programming",1.7,9.03,ai based fault detection,100.0
"vlsi design, matlab, machine learning",1.9,7.83,fpga based design,100.0
"embedded systems, python, machine learning, matlab, pcb design",2.0,7.78,robotics arm,100.0
"verilog, python, c programming, matlab",2.9,7.65,wireless communication model,100.0
"embedded systems, python, machine learning, matlab",4.3,7.56,image processing system,100.0
"embedded systems, python, machine learning, matlab",3.6,7.34,smart home automation,100.0
"embedded systems, python, machine learning, iot",3.7,8.47,iot weather station,100.0
"embedded systems, python, machine learning, iot",2.5,7.94,robotics arm,100.0
"embedded systems, python, machine learning, c programming",4.1,7.51,robotics arm,100.0
"embedded systems, python, machine learning, matlab, vlsi design",4.0,8.93,smart home automation,100.0
"signal processing, iot, vlsi design, embedded systems",2.2,7.99,wireless communication model,100.0
"embedded systems, python, machine learning, iot, signal processing",1.2,8.83,signal analyzer,100.0
"embedded systems, python, machine learning, c programming, matlab",4.4,8.44,wireless communication model,100.0
"embedded systems, python, machine learning, vlsi design, signal processing",3.4,8.84,fpga based design,100.0
"embedded systems, python, machine learning, pcb design, vlsi design",4.0,9.76,smart home automation,100.0
"embedded systems, python, machine learning, signal processing, pcb design",4.6,8.23,iot weather station,100.0
"pcb design, vlsi design, iot, c programming",1.3,7.98,ai based fault detection,100.0
"verilog, pcb design",0.9,7.99,ai based fault detection,100.0
"embedded systems, python, machine learning, signal processing",3.5,8.58,wireless communication model,100.0
"pcb design, python",2.2,7.58,iot weather station,99.94
"embedded systems, python, machine learning, signal processing",2.5,9.66,image processing system,100.0
"embedded systems, python, signal processing, pcb design",2.1,7.63,smart home automation,100.0
"embedded systems, python, machine learning, pcb design, c programming",4.2,9.66,robotics arm,100.0
"matlab, pcb design",1.2,7.98,ai based fault detection,100.0
"embedded systems, python, machine learning, c programming",1.5,9.34,wireless communication model,100.0
"embedded systems, python, machine learning, c programming",4.1,7.53,fpga based design,100.0
"verilog, c programming, matlab",0.8,7.94,signal analyzer,90.92
"matlab, embedded systems, vlsi design",2.2,7.45,signal analyzer,85.35
"embedded systems, python, machine learning, c programming, iot",4.6,7.2,wireless communication model,100.0
"embedded systems, python, machine learning, vlsi design, signal processing",4.2,7.49,signal analyzer,100.0
"embedded systems, python, machine learning, verilog",4.9,8.52,signal analyzer,100.0
"embedded systems, python, machine learning, signal processing",4.6,7.77,iot weather station,100.0
"embedded systems, python, machine learning, c programming",3.7,7.97,signal analyzer,100.0
"embedded systems, python, machine learning, matlab, iot",3.2,9.81,ai based fault detection,100.0
"embedded systems, python, machine learning, verilog, vlsi design",2.3,7.98,fpga based design,100.0
"embedded systems, python, machine learning, pcb design",3.1,8.58,robotics arm,100.0
"embedded systems, python, machine learning, verilog",3.7,9.47,smart home automation,100.0
"embedded systems, python, machine learning, pcb design, signal processing",1.2,8.47,smart home automation,100.0
"embedded systems, python, machine learning, signal processing",4.9,7.86,wireless communication model,100.0
"embedded systems, python, machine learning, matlab, verilog",3.2,9.57,image processing system,100.0
"machine learning, signal processing, python, iot",0.3,7.96,fpga based design,75.51
"embedded systems, python, machine learning, pcb design",3.8,8.98,fpga based design,100.0
"embedded systems, python, machine learning, vlsi design, signal processing",2.5,8.49,fpga based design,100.0
"embedded systems, python, machine learning, signal processing",3.8,9.96,ai based fault detection,100.0
"embedded systems, python, machine learning, signal processing",4.4,7.6,image processing system,100.0
"embedded systems, python, machine learning, vlsi design, pcb design",2.1,7.9,wireless communication model,100.0
"embedded systems, python, machine learning, vlsi design",1.2,9.48,robotics arm,100.0
"embedded systems, vlsi design, matlab",0.4,7.99,wireless communication model,82.41
"embedded systems, python, machine learning, pcb design",2.0,9.37,image processing system,100.0
"embedded systems, python, machine learning, pcb design",3.3,8.1,image processing system,100.0
"embedded systems, python, machine learning, c programming, signal processing",2.1,9.31,wireless communication model,100.0
"embedded systems, python, machine learning, signal processing",4.2,7.52,fpga based design,100.0
"embedded systems, python, machine learning, pcb design",2.0,9.45,wireless communication model,100.0
"machine learning, embedded systems",3.0,7.7,smart home automation,100.0
"signal processing, machine learning, verilog, embedded systems",1.9,7.49,fpga based design,79.24
"embedded systems, python, machine learning, pcb design",1.5,7.64,wireless communication model,81.96
"embedded systems, python, machine learning, vlsi design, c programming",4.5,9.49,iot weather station,100.0
"verilog, machine learning, vlsi design",2.7,7.71,fpga based design,100.0
"embedded systems, python, machine learning, verilog",4.5,7.37,robotics arm,100.0
"embedded systems, machine learning, iot",2.4,7.76,iot weather station,100.0
"embedded systems, python, machine learning, verilog",3.8,8.32,robotics arm,100.0
"embedded systems, python, machine learning, signal processing, matlab",3.2,9.96,robotics arm,100.0
"embedded systems, python, machine learning, iot, signal processing",2.2,9.23,image processing system,100.0
"embedded systems, python, machine learning, signal processing",1.1,8.39,image processing system,100.0
"embedded systems, python, machine learning, matlab, iot",2.6,9.4,ai based fault detection,100.0
"verilog, iot",2.6,7.5,robotics arm,100.0
"embedded systems, python, machine learning, c programming, verilog",4.0,8.33,robotics arm,100.0
"embedded systems, python, machine learning, matlab",2.7,9.2,robotics arm,100.0
"embedded systems, python, machine learning, signal processing",2.6,7.38,fpga based design,91.61
"python, iot, verilog",1.7,7.91,image processing system,100.0
"c programming, verilog",2.6,7.27,iot weather station,79.26
"embedded systems, python, machine learning, vlsi design",1.5,7.58,robotics arm,75.22
"embedded systems, python, machine learning, pcb design",1.2,9.96,signal analyzer,100.0
"embedded systems, python, machine learning, c programming, vlsi design",2.6,7.66,smart home automation,100.0
"embedded systems, python, machine learning, pcb design, iot",3.7,8.98,smart home automation,100.0
"embedded systems, python, machine learning, vlsi design",2.2,7.57,smart home automation,98.82
"c programming, embedded systems, vlsi design, python",2.0,7.82,image processing system,100.0
"embedded systems, python, machine learning, matlab, pcb design",3.6,7.99,signal analyzer,100.0
"embedded systems, python, machine learning, pcb design",2.0,8.39,signal analyzer,100.0
"signal processing, vlsi design",2.4,7.9,fpga based design,100.0
"embedded systems, python, machine learning, verilog",1.6,8.61,fpga based design,100.0
"embedded systems, python, machine learning, c programming, signal processing",4.1,8.19,iot weather station,100.0
"embedded systems, python, machine learning, c programming",1.6,8.47,signal analyzer,100.0
"embedded systems, python, machine learning, verilog, c programming",3.8,9.53,robotics arm,100.0
"pcb design, c programming",0.9,7.99,wireless communication model,100.0
"verilog, pcb design, python, machine learning",1.6,7.79,wireless communication model,100.0
"pcb design, verilog, signal processing, c programming",2.2,7.9,iot weather station,100.0
"embedded systems, python, machine learning, matlab, signal processing",4.1,7.27,iot weather station,100.0
"embedded systems, python, machine learning, pcb design",3.0,8.56,fpga based design,100.0
"embedded systems, python, machine learning, verilog, pcb design",1.3,9.59,wireless communication model,100.0
"embedded systems, python, machine learning, matlab, vlsi design",4.8,8.12,image processing system,100.0
"embedded systems, python, machine learning, pcb design, vlsi design",3.7,9.97,robotics arm,100.0
"embedded systems, python, machine learning, iot",4.9,9.0,smart home automation,100.0
"embedded systems, python, machine learning, matlab",3.8,7.4,smart home automation,100.0
"embedded systems, pcb design",1.2,7.88,signal analyzer,98.31
"embedded systems, python, machine learning, vlsi design, signal processing",3.9,7.87,fpga based design,100.0
"signal processing, c programming",0.7,7.93,robotics arm,86.27
"embedded systems, python, machine learning, iot, vlsi design",4.0,9.47,iot weather station,100.0
"embedded systems, python, machine learning, vlsi design, pcb design",4.8,7.68,smart home automation,100.0
"signal processing, c programming",2.6,7.73,image processing system,100.0
"embedded systems, python, machine learning, vlsi design, verilog",2.2,8.42,wireless communication model,100.0
"embedded systems, python, machine learning, pcb design",2.3,8.14,image processing system,100.0
"embedded systems, python, machine learning, matlab",2.8,8.66,fpga based design,100.0
"embedded systems, python, machine learning, c programming",2.4,9.76,iot weather station,100.0
"embedded systems, python, machine learning, c programming",2.7,9.15,robotics arm,100.0
"python, machine learning, vlsi design",2.5,7.94,signal analyzer,100.0
"embedded systems, python, machine learning, iot",4.4,7.98,robotics arm,100.0
"c programming, machine learning, verilog, python",2.6,7.82,fpga based design,100.0
"embedded systems, python, machine learning, pcb design, iot",3.1,9.57,fpga based design,100.0
"python, matlab",0.9,7.86,ai based fault detection,85.47
"embedded systems, python, machine learning, vlsi design",3.1,7.16,smart home automation,84.57
"embedded systems, python, machine learning, matlab, iot",1.1,8.88,fpga based design,100.0
"machine learning, iot, matlab, embedded systems",2.8,7.3,robotics arm,89.69
"embedded systems, python, machine learning, c programming, matlab",3.2,7.83,wireless communication model,100.0
"embedded systems, python, machine learning, vlsi design, matlab",3.4,7.34,ai based fault detection,100.0
"machine learning, vlsi design, iot",1.4,7.99,ai based fault detection,100.0
"verilog, vlsi design, embedded systems",1.2,7.98,wireless communication model,100.0
"verilog, c programming, pcb design",2.9,7.36,ai based fault detection,99.96
"embedded systems, python, machine learning, iot",3.9,8.57,robotics arm,100.0
"embedded systems, python, machine learning, iot, pcb design",5.0,9.89,robotics arm,100.0
"python, pcb design",2.0,7.75,ai based fault detection,100.0
"embedded systems, python, machine learning, vlsi design",2.3,8.16,smart home automation,100.0
"embedded systems, python, machine learning, c programming, matlab",2.8,9.04,robotics arm,100.0
"c programming, matlab, iot, python",0.7,7.9,ai based fault detection,82.9
"embedded systems, python, machine learning, vlsi design, pcb design",4.8,9.99,wireless communication model,100.0
"embedded systems, python, machine learning, iot, signal processing",1.4,9.06,fpga based design,100.0
"embedded systems, python, machine learning, c programming, pcb design",1.8,9.56,fpga based design,100.0
"embedded systems, python, machine learning, verilog, vlsi design",1.4,8.02,fpga based design,100.0
"embedded systems, python, machine learning, signal processing",2.0,7.67,ai based fault detection,100.0
"embedded systems, python, machine learning, pcb design",4.9,7.38,iot weather station,100.0
"embedded systems, python, machine learning, matlab",3.1,9.7,ai based fault detection,100.0
"embedded systems, python, machine learning, signal processing, pcb design",3.7,9.38,ai based fault detection,100.0
"embedded systems, python, machine learning, c programming",2.7,9.42,wireless communication model,100.0
"signal processing, c programming",2.2,7.41,fpga based design,80.85
"embedded systems, python, machine learning, pcb design, verilog",3.7,9.95,signal analyzer,100.0
"embedded systems, python, machine learning, iot, matlab",1.0,9.96,signal analyzer,100.0
"embedded systems, python, machine learning, vlsi design, signal processing",2.7,9.99,ai based fault detection,100.0
"embedded systems, python, machine learning, vlsi design",3.9,8.35,smart home automation,100.0
"embedded systems, python, machine learning, c programming, signal processing",3.4,7.61,signal analyzer,100.0
"embedded systems, python, machine learning, iot, signal processing",2.8,8.67,fpga based design,100.0
"verilog, matlab, machine learning",0.5,7.97,signal analyzer,83.69
"embedded systems, python, machine learning, matlab, iot",4.9,9.64,smart home automation,100.0
"python, c programming, pcb design, embedded systems",1.3,7.97,iot weather station,100.0
"embedded systems, python, machine learning, vlsi design",2.5,8.21,iot weather station,100.0
"embedded systems, python, machine learning, signal processing",2.5,9.51,smart home automation,100.0
"python, matlab",2.9,7.73,fpga based design,100.0
"embedded systems, python, machine learning, signal processing",4.8,8.15,robotics arm,100.0
"embedded systems, python, machine learning, pcb design",3.0,8.39,ai based fault detection,100.0
"matlab, vlsi design",2.4,7.4,signal analyzer,86.79
"embedded systems, python, machine learning, matlab, pcb design",2.9,8.05,smart home automation,100.0
"pcb design, iot, embedded systems, c programming",2.7,7.66,image processing system,100.0
"embedded systems, python, machine learning, verilog, matlab",4.5,9.4,ai based fault detection,100.0
"embedded systems, python, machine learning, c programming, matlab",1.6,7.82,ai based fault detection,100.0
"c programming, iot, vlsi design",2.0,7.92,wireless communication model,100.0
"embedded systems, python, machine learning, iot",1.1,8.74,iot weather station,100.0
"embedded systems, python, machine learning, c programming, pcb design",1.2,9.98,signal analyzer,100.0
"embedded systems, python, machine learning, c programming",2.4,9.39,signal analyzer,100.0
"embedded systems, python, machine learning, pcb design",2.2,9.94,fpga based design,100.0
"embedded systems, python, machine learning, vlsi design, signal processing",2.9,8.24,ai based fault detection,100.0
"embedded systems, python, machine learning, c programming, matlab",1.6,8.78,iot weather station,100.0
"embedded systems, python, machine learning, c programming",4.4,8.76,ai based fault detection,100.0
"embedded systems, python, machine learning, verilog, vlsi design",2.4,7.68,fpga based design,100.0
"embedded systems, python, machine learning, c programming",4.6,8.88,iot weather station,100.0
"embedded systems, python, machine learning, verilog, iot",3.8,9.06,robotics arm,100.0
"embedded systems, python, machine learning, c programming",4.9,7.08,image processing system,100.0
"machine learning, matlab",1.9,7.55,signal analyzer,85.98
"embedded systems, python, machine learning, pcb design, c programming",3.4,8.44,image processing system,100.0
"embedded systems, python, machine learning, signal processing, iot",1.4,8.11,ai based fault detection,100.0
"embedded systems, python, machine learning, verilog",4.0,8.82,signal analyzer,100.0
"embedded systems, python, machine learning, iot, verilog",4.0,9.31,signal analyzer,100.0
"embedded systems, python, machine learning, pcb design, iot",3.0,8.45,robotics arm,100.0
"embedded systems, python, machine learning, signal processing",4.4,8.39,wireless communication model,100.0
"embedded systems, python, machine learning, signal processing, vlsi design",1.8,8.31,wireless communication model,100.0
"embedded systems, python, machine learning, verilog",3.5,8.95,wireless communication model,100.0
"embedded systems, python, machine learning, verilog",5.0,7.69,smart home automation,100.0
"embedded systems, python, machine learning, c programming, pcb design",4.3,9.32,robotics arm,100.0
"embedded systems, python, c programming",1.1,7.8,smart home automation,85.8
"embedded systems, python, machine learning, pcb design, iot",4.2,8.19,robotics arm,100.0
"python, verilog",2.4,7.75,smart home automation,100.0
"embedded systems, python, machine learning, signal processing, iot",3.8,9.07,robotics arm,100.0
"embedded systems, python, machine learning, matlab, signal processing",3.0,9.14,image processing system,100.0
"iot, matlab",2.2,7.46,wireless communication model,86.47
"embedded systems, python, machine learning, pcb design",2.1,8.18,smart home automation,100.0
"embedded systems, python, machine learning, pcb design",1.3,9.84,smart home automation,100.0
"vlsi design, matlab, embedded systems",2.6,7.81,ai based fault detection,100.0
"embedded systems, python, machine learning, matlab, verilog",4.5,7.14,signal analyzer,100.0
"vlsi design, signal processing",1.5,7.69,robotics arm,87.57
"verilog, matlab, python, machine learning",1.3,7.91,smart home automation,100.0
"embedded systems, python, machine learning, verilog, signal processing",2.6,9.21,robotics arm,100.0
"matlab, python",1.9,7.94,wireless communication model,100.0
"matlab, machine learning",1.6,7.91,smart home automation,100.0
"embedded systems, python, machine learning, signal processing",4.5,9.87,fpga based design,100.0
"embedded systems, python, machine learning, vlsi design",3.7,7.38,wireless communication model,100.0
"embedded systems, python, machine learning, c programming, matlab",3.1,9.1,fpga based design,100.0
"embedded systems, python, machine learning, vlsi design, signal processing",4.3,9.82,iot weather station,100.0
"verilog, c programming, pcb design",1.4,7.91,fpga based design,100.0
"embedded systems, python, machine learning, iot",4.0,7.55,image processing system,100.0
"embedded systems, python, machine learning, iot",3.6,7.54,wireless communication model,100.0
"verilog, signal processing, pcb design",2.4,7.95,signal analyzer,100.0
"embedded systems, python, machine learning, matlab, vlsi design",2.0,9.33,fpga based design,100.0
"embedded systems, python, machine learning, iot",4.2,9.28,wireless communication model,100.0
"embedded systems, python, machine learning, c programming",4.7,7.92,robotics arm,100.0
"pcb design, signal processing, matlab",2.9,7.61,ai based fault detection,100.0
"embedded systems, python, machine learning, verilog",4.5,7.36,ai based fault detection,100.0
"embedded systems, python, machine learning, signal processing, c programming",4.4,7.46,smart home automation,100.0
"embedded systems, python, machine learning, iot",4.9,9.48,robotics arm,100.0
"embedded systems, python, machine learning, vlsi design",4.9,8.53,ai based fault detection,100.0
"embedded systems, python, machine learning, verilog, signal processing",3.9,9.65,image processing system,100.0
"embedded systems, python, machine learning, signal processing, c programming",3.4,8.39,signal analyzer,100.0
"python, iot, matlab, embedded systems",2.2,7.84,signal analyzer,100.0
"c programming, python",1.4,7.91,fpga based design,100.0
"embedded systems, python, machine learning, signal processing, verilog",1.6,8.14,smart home automation,100.0
"embedded systems, python, machine learning, c programming, verilog",3.6,8.97,iot weather station,100.0
"embedded systems, python, machine learning, iot",4.5,9.44,wireless communication model,100.0
"embedded systems, python, machine learning, pcb design, vlsi design",3.7,9.98,wireless communication model,100.0
"matlab, python, embedded systems, c programming",1.9,7.89,robotics arm,100.0
"embedded systems, python, machine learning, c programming, iot",3.0,8.5,image processing system,100.0
"embedded systems, python, machine learning, vlsi design",4.4,8.55,robotics arm,100.0
"embedded systems, python, machine learning, pcb design, signal processing",3.6,8.53,ai based fault detection,100.0
"embedded systems, python, machine learning, iot, verilog",3.5,8.62,signal analyzer,100.0
"verilog, machine learning, signal processing",1.3,7.74,robotics arm,86.12
"embedded systems, python, machine learning, signal processing, iot",2.1,7.78,image processing system,100.0
"signal processing, python, verilog",2.7,7.3,image processing system,86.16
"signal processing, c programming, matlab, pcb design",2.8,7.89,smart home automation,100.0
"verilog, signal processing, iot",1.4,7.64,robotics arm,78.43
"iot, matlab, machine learning",2.8,7.74,iot weather station,100.0
"embedded systems, python, machine learning, vlsi design",2.5,9.78,smart home automation,100.0
"embedded systems, python, machine learning, iot",4.0,9.64,image processing system,100.0
"embedded systems, python, machine learning, matlab, signal processing",4.9,7.92,robotics arm,100.0
"embedded systems, python, machine learning, c programming",4.5,8.35,signal analyzer,100.0
"embedded systems, matlab, verilog",0.8,7.81,smart home automation,76.32
"embedded systems, python, machine learning, c programming, pcb design",4.1,7.73,robotics arm,100.0
"embedded systems, python, machine learning, vlsi design",2.5,8.13,smart home automation,100.0
"embedded systems, python, machine learning, verilog",4.1,9.86,robotics arm,100.0
"embedded systems, python, machine learning, pcb design",1.7,8.94,signal analyzer,100.0
"vlsi design, c programming, machine learning",2.1,7.42,image processing system,78.45
"python, pcb design, matlab",1.8,7.55,smart home automation,82.45
"embedded systems, python, machine learning, pcb design",3.9,8.49,signal analyzer,100.0
"embedded systems, python, machine learning, verilog",3.8,8.17,ai based fault detection,100.0
"embedded systems, python, machine learning, verilog, matlab",2.0,8.71,image processing system,100.0
"embedded systems, python, machine learning, vlsi design, pcb design",1.5,8.04,ai based fault detection,100.0
"embedded systems, python, machine learning, matlab, vlsi design",4.7,9.47,iot weather station,100.0
"embedded systems, python, machine learning, verilog",4.6,8.88,image processing system,100.0
"pcb design, vlsi design, c programming, embedded systems",1.8,7.98,ai based fault detection,100.0
"embedded systems, python, machine learning, pcb design, matlab",3.0,8.48,fpga based design,100.0
"embedded systems, python, machine learning, pcb design, matlab",4.1,7.05,signal analyzer,100.0
"embedded systems, python, machine learning, matlab, signal processing",4.6,7.77,smart home automation,100.0
"embedded systems, python, machine learning, pcb design, c programming",1.4,7.72,ai based fault detection,87.41
"embedded systems, python, machine learning, c programming, verilog",4.9,8.76,image processing system,100.0
"embedded systems, python, machine learning, matlab",3.8,9.03,iot weather station,100.0
"signal processing, pcb design, c programming, machine learning",3.0,7.92,iot weather station,100.0
"matlab, python",1.4,7.76,smart home automation,91.9
"pcb design, iot",1.0,7.84,ai based fault detection,86.76
"embedded systems, python, machine learning, matlab",4.2,9.79,ai based fault detection,100.0
"embedded systems, python, machine learning, iot, pcb design",3.0,8.44,wireless communication model,100.0
"verilog, python, vlsi design",1.7,7.56,smart home automation,80.04
"embedded systems, python, machine learning, pcb design",3.6,7.5,image processing system,100.0
"signal processing, pcb design, vlsi design",2.3,7.53,smart home automation,97.86
"embedded systems, python, machine learning, verilog, signal processing",2.3,8.9,iot weather station,100.0
"embedded systems, python, machine learning, signal processing",3.5,9.13,robotics arm,100.0
"embedded systems, python, machine learning, matlab",2.3,9.93,signal analyzer,100.0
"verilog, python, signal processing",1.5,7.61,signal analyzer,78.59
"embedded systems, python, machine learning, verilog, matlab",3.8,9.59,image processing system,100.0
"embedded systems, python, machine learning, verilog, vlsi design",3.1,9.41,smart home automation,100.0
"c programming, signal processing, machine learning, verilog",0.5,7.9,smart home automation,75.84
"iot, pcb design",2.7,7.84,fpga based design,100.0
"embedded systems, python, machine learning, vlsi design, pcb design",2.2,9.13,image processing system,100.0
"embedded systems, python, machine learning, pcb design, signal processing",2.5,8.83,iot weather station,100.0
"embedded systems, python, machine learning, signal processing, iot",3.6,9.16,iot weather station,100.0
"embedded systems, python, machine learning, signal processing",3.7,8.07,smart home automation,100.0
"c programming, iot, machine learning, signal processing",2.8,7.62,image processing system,100.0
"embedded systems, python, machine learning, vlsi design, c programming",4.2,8.73,robotics arm,100.0
"embedded systems, python, machine learning, vlsi design, matlab",1.8,9.66,ai based fault detection,100.0
"embedded systems, python, machine learning, signal processing",3.4,9.59,smart home automation,100.0
"embedded systems, python, machine learning, signal processing",4.2,7.56,smart home automation,100.0
"embedded systems, python, machine learning, signal processing",2.9,8.16,robotics arm,100.0
"embedded systems, python, machine learning, iot",2.6,9.55,robotics arm,100.0
"vlsi design, c programming",1.1,7.84,smart home automation,90.29
"embedded systems, python, machine learning, verilog, pcb design",3.3,9.5,robotics arm,100.0
"pcb design, machine learning, vlsi design",2.6,7.63,iot weather station,100.0
"embedded systems, python, machine learning, c programming",4.0,9.89,image processing system,100.0
"embedded systems, python, machine learning, pcb design, verilog",4.9,9.22,ai based fault detection,100.0
"embedded systems, python, machine learning, c programming, pcb design",3.9,7.36,wireless communication model,100.0
"vlsi design, python, iot, machine learning",2.6,7.24,wireless communication model,75.89
"embedded systems, python, machine learning, verilog, c programming",3.6,8.51,smart home automation,100.0
"embedded systems, python, machine learning, signal processing, vlsi design",3.0,9.19,wireless communication model,100.0
"embedded systems, vlsi design, signal processing",1.8,7.5,fpga based design,76.83
"embedded systems, python, machine learning, iot, c programming",1.4,8.67,smart home automation,100.0
"embedded systems, python, machine learning, pcb design, matlab",3.3,7.84,signal analyzer,100.0
"pcb design, machine learning",2.8,7.19,robotics arm,77.34
"embedded systems, python, machine learning, iot",1.6,9.52,signal analyzer,100.0
"embedded systems, python, machine learning, pcb design, signal processing",1.5,8.47,iot weather station,100.0
"embedded systems, python, machine learning, signal processing",3.3,7.81,ai based fault detection,100.0
"embedded systems, python, machine learning, vlsi design",3.2,8.84,signal analyzer,100.0
"embedded systems, python, machine learning, signal processing",4.4,7.43,signal analyzer,100.0
"embedded systems, python, machine learning, c programming",1.7,9.92,signal analyzer,100.0
"embedded systems, python, machine learning, verilog, pcb design",4.0,9.83,wireless communication model,100.0
"embedded systems, python, machine learning, signal processing, c programming",2.9,8.32,fpga based design,100.0
"embedded systems, vlsi design, python, matlab",1.5,7.61,wireless communication model,78.59
"embedded systems, python, machine learning, matlab, pcb design",4.9,8.41,wireless communication model,100.0
"embedded systems, python, machine learning, pcb design, iot",2.5,7.34,wireless communication model,83.59
"embedded systems, python, machine learning, vlsi design, signal processing",4.9,7.91,ai based fault detection,100.0
"signal processing, python, c programming",1.6,7.68,ai based fault detection,89.98
"matlab, embedded systems, c programming, pcb design",1.7,7.88,wireless communication model,100.0
"iot, machine learning, c programming, verilog",2.7,7.86,image processing system,100.0
"embedded systems, python, machine learning, iot, verilog",2.3,9.86,fpga based design,100.0
"embedded systems, python, machine learning, vlsi design, verilog",3.4,8.84,smart home automation,100.0
"embedded systems, python, machine learning, vlsi design, matlab",1.1,8.25,smart home automation,100.0
"embedded systems, python, machine learning, signal processing, vlsi design",1.8,9.06,wireless communication model,100.0
"embedded systems, python, machine learning, matlab",1.1,8.01,smart home automation,100.0
"embedded systems, python, machine learning, matlab, signal processing",1.2,8.36,wireless communication model,100.0
"embedded systems, python, machine learning, signal processing",2.4,9.45,robotics arm,100.0
"embedded systems, python, machine learning, iot",3.9,7.32,iot weather station,100.0
"embedded systems, python, machine learning, signal processing, pcb design",2.1,9.54,ai based fault detection,100.0
"embedded systems, python, machine learning, c programming",2.1,8.9,iot weather station,100.0
"python, pcb design, iot",2.1,7.83,signal analyzer,100.0
"embedded systems, python, machine learning, matlab, iot",1.4,8.5,signal analyzer,100.0
"embedded systems, python, machine learning, pcb design",1.6,9.32,smart home automation,100.0
"embedded systems, python, machine learning, pcb design, verilog",4.0,7.99,ai based fault detection,100.0
"embedded systems, python, machine learning, vlsi design, c programming",4.3,8.57,fpga based design,100.0
"embedded systems, python, machine learning, vlsi design, signal processing",1.7,9.97,signal analyzer,100.0
"embedded systems, python, machine learning, matlab",3.4,8.59,smart home automation,100.0
"embedded systems, python, machine learning, c programming, signal processing",4.1,8.14,ai based fault detection,100.0
"embedded systems, python, machine learning, signal processing, c programming",4.7,8.36,fpga based design,100.0
"embedded systems, python, machine learning, matlab, c programming",3.9,7.43,ai based fault detection,100.0
"embedded systems, python, machine learning, verilog, signal processing",5.0,7.08,robotics arm,100.0
"embedded systems, python, machine learning, signal processing, vlsi design",2.5,9.49,smart home automation,100.0
"embedded systems, python, machine learning, vlsi design, iot",4.3,8.11,iot weather station,100.0
"embedded systems, python, machine learning, c programming",3.0,9.4,smart home automation,100.0
"embedded systems, python, machine learning, signal processing",1.9,9.34,robotics arm,100.0
"embedded systems, python, machine learning, verilog",2.1,7.67,signal analyzer,100.0
"embedded systems, python, machine learning, pcb design",1.1,9.41,wireless communication model,100.0
"embedded systems, python, machine learning, c programming, iot",1.3,9.88,ai based fault detection,100.0
"embedded systems, python, machine learning, iot, matlab",3.1,9.53,image processing system,100.0
"embedded systems, python, machine learning, vlsi design, c programming",4.1,8.83,image processing system,100.0
"embedded systems, python, machine learning, vlsi design",2.8,8.9,iot weather station,100.0
